dataset_key,run,model_name,image_AUROC,image_F1Score,error
circulation_quality_public,1,Patchcore,0.9147695302963257,0.8031809329986572,
circulation_quality_public,1,PaDiM,0.9704166650772095,0.8918918967247009,
circulation_quality_public,1,DFM,0.9181883931159973,0.8362069129943848,
circulation_quality_public,1,CFA,0.9243625402450562,0.826347291469574,
circulation_quality_public,1,STFPM,0.841273844242096,0.7083333134651184,
circulation_quality_public,2,Patchcore,0.9165593981742859,0.819327712059021,
circulation_quality_public,2,PaDiM,0.958993673324585,0.8445297479629517,
circulation_quality_public,2,DFM,0.9181984066963196,0.8362069129943848,
circulation_quality_public,2,CFA,0.9221502542495728,0.846960186958313,
circulation_quality_public,2,STFPM,0.9268160462379456,0.8198019862174988,
circulation_quality_public,3,Patchcore,0.7417795658111572,0.5958429574966431,
circulation_quality_public,3,PaDiM,0.9544787406921387,0.857692301273346,
circulation_quality_public,3,DFM,0.9181984066963196,0.8362069129943848,
circulation_quality_public,3,CFA,0.91965651512146,0.8448275923728943,
circulation_quality_public,3,STFPM,0.8672975301742554,0.7357723712921143,
circulation_quality_public,4,Patchcore,0.9184197187423706,0.834080696105957,
circulation_quality_public,4,PaDiM,0.9720959663391113,0.8860759735107422,
circulation_quality_public,4,DFM,0.9181883931159973,0.8362069129943848,
circulation_quality_public,4,CFA,0.9304561614990234,0.8553971648216248,
circulation_quality_public,4,STFPM,0.862088680267334,0.7245119214057922,
circulation_quality_public,5,Patchcore,0.8852164149284363,0.7433962225914001,
circulation_quality_public,5,PaDiM,0.9587020874023438,0.8763102889060974,
circulation_quality_public,5,DFM,0.9181984663009644,0.8362069129943848,
circulation_quality_public,5,CFA,0.9236586093902588,0.8524590134620667,
circulation_quality_public,5,STFPM,0.8751105666160583,0.7483870983123779,
circulation_quality_public,6,Patchcore,0.9064335227012634,0.8008565306663513,
circulation_quality_public,6,PaDiM,0.9560675024986267,0.8645418286323547,
circulation_quality_public,6,DFM,0.9181883931159973,0.8362069129943848,
circulation_quality_public,6,CFA,0.9310594797134399,0.855967104434967,
circulation_quality_public,6,STFPM,0.8190209865570068,0.6584867238998413,
circulation_quality_public,7,Patchcore,0.9177460074424744,0.831556499004364,
circulation_quality_public,7,PaDiM,0.9609142541885376,0.8679999709129333,
circulation_quality_public,7,DFM,0.9181883931159973,0.8362069129943848,
circulation_quality_public,7,CFA,0.9265948534011841,0.8589473962783813,
circulation_quality_public,7,STFPM,0.8938742876052856,0.7835051417350769,
circulation_quality_public,8,Patchcore,0.9103350639343262,0.821052610874176,
circulation_quality_public,8,PaDiM,0.9649162888526917,0.8781431317329407,
circulation_quality_public,8,DFM,0.9181984066963196,0.8362069129943848,
circulation_quality_public,8,CFA,0.9338850378990173,0.8541666865348816,
circulation_quality_public,8,STFPM,0.8809629082679749,0.7332053780555725,
circulation_quality_public,9,Patchcore,0.9116623997688293,0.8227571249008179,
circulation_quality_public,9,PaDiM,0.972156286239624,0.9047619104385376,
circulation_quality_public,9,DFM,0.9181984066963196,0.8362069129943848,
circulation_quality_public,9,CFA,0.9280025959014893,0.8373016119003296,
circulation_quality_public,9,STFPM,0.7819362878799438,0.6289592981338501,
circulation_quality_public,10,Patchcore,0.9158555865287781,0.8235294222831726,
circulation_quality_public,10,PaDiM,0.960381269454956,0.8638132214546204,
circulation_quality_public,10,DFM,0.9181984066963196,0.8362069129943848,
circulation_quality_public,10,CFA,0.9257601499557495,0.8535031676292419,
circulation_quality_public,10,STFPM,0.8921144604682922,0.7734375,
circulation_quality_private,1,Patchcore,0.5185483694076538,0.5405405163764954,
circulation_quality_private,1,PaDiM,0.9420967698097229,0.8455284833908081,
circulation_quality_private,1,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,1,CFA,0.949354887008667,0.8571428656578064,
circulation_quality_private,1,STFPM,0.6519355177879333,0.538922131061554,
circulation_quality_private,2,Patchcore,0.7395161390304565,0.5853658318519592,
circulation_quality_private,2,PaDiM,0.9409677386283875,0.8455284833908081,
circulation_quality_private,2,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,2,CFA,0.943871021270752,0.8270676732063293,
circulation_quality_private,2,STFPM,0.6040322780609131,0.5699999928474426,
circulation_quality_private,3,Patchcore,0.8046773672103882,0.7213114500045776,
circulation_quality_private,3,PaDiM,0.9487097263336182,0.84375,
circulation_quality_private,3,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,3,CFA,0.958548367023468,0.8739495873451233,
circulation_quality_private,3,STFPM,0.7229031920433044,0.5641025900840759,
circulation_quality_private,4,Patchcore,0.7954838275909424,0.730434775352478,
circulation_quality_private,4,PaDiM,0.9730645418167114,0.9047619104385376,
circulation_quality_private,4,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,4,CFA,0.9558064341545105,0.8617886304855347,
circulation_quality_private,4,STFPM,0.6735484004020691,0.5301204919815063,
circulation_quality_private,5,Patchcore,0.8346773982048035,0.6853147149085999,
circulation_quality_private,5,PaDiM,0.9788709878921509,0.9076923131942749,
circulation_quality_private,5,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,5,CFA,0.948548436164856,0.8870967626571655,
circulation_quality_private,5,STFPM,0.7562903165817261,0.6164383292198181,
circulation_quality_private,6,Patchcore,0.8199999928474426,0.6571428775787354,
circulation_quality_private,6,PaDiM,0.9272580146789551,0.8455284833908081,
circulation_quality_private,6,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,6,CFA,0.9606451988220215,0.8571428656578064,
circulation_quality_private,6,STFPM,0.7003226280212402,0.5736433863639832,
circulation_quality_private,7,Patchcore,0.7885484099388123,0.6040268540382385,
circulation_quality_private,7,PaDiM,0.9448387026786804,0.852173924446106,
circulation_quality_private,7,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,7,CFA,0.9482257962226868,0.8547008633613586,
circulation_quality_private,7,STFPM,0.5680645108222961,0.5495495200157166,
circulation_quality_private,8,Patchcore,0.8537096977233887,0.7076923251152039,
circulation_quality_private,8,PaDiM,0.9753226041793823,0.9076923131942749,
circulation_quality_private,8,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,8,CFA,0.9514515995979309,0.8666666746139526,
circulation_quality_private,8,STFPM,0.6696773767471313,0.5405405163764954,
circulation_quality_private,9,Patchcore,0.8040322661399841,0.6569343209266663,
circulation_quality_private,9,PaDiM,0.9483871459960938,0.8142856955528259,
circulation_quality_private,9,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,9,CFA,0.9496773481369019,0.8455284833908081,
circulation_quality_private,9,STFPM,0.7930644750595093,0.6432748436927795,
circulation_quality_private,10,Patchcore,0.8259677290916443,0.6901408433914185,
circulation_quality_private,10,PaDiM,0.9600000381469727,0.8661417365074158,
circulation_quality_private,10,DFM,0.894516110420227,0.800000011920929,
circulation_quality_private,10,CFA,0.9514515399932861,0.8474576473236084,
circulation_quality_private,10,STFPM,0.572419285774231,0.557692289352417,
manufacturing_defects_public,1,Patchcore,0.9067119359970093,0.7719298005104065,
manufacturing_defects_public,1,PaDiM,0.9740572571754456,0.9186602830886841,
manufacturing_defects_public,1,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,1,CFA,0.8787330389022827,0.7799999713897705,
manufacturing_defects_public,1,STFPM,0.8787329792976379,0.75,
manufacturing_defects_public,2,Patchcore,0.8986425399780273,0.7153284549713135,
manufacturing_defects_public,2,PaDiM,0.9715686440467834,0.9065420627593994,
manufacturing_defects_public,2,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,2,CFA,0.8813725113868713,0.8056871891021729,
