experiment_name,dataset_name,subset_name,selected_defects,run,model_name,image_AUROC,image_F1Score
cq_public_dirty,Circulation_quality,public,DIRTY,1,STFPM,0.9015096426010132,0.75
cq_public_dirty,Circulation_quality,public,DIRTY,2,Patchcore,0.9000885486602783,0.7150837779045105
cq_public_dirty,Circulation_quality,public,DIRTY,2,PaDiM,0.9728636145591736,0.8372092843055725
cq_public_dirty,Circulation_quality,public,DIRTY,2,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,2,CFA,0.9272249937057495,0.7948718070983887
cq_public_dirty,Circulation_quality,public,DIRTY,2,STFPM,0.8994180560112,0.7093023061752319
cq_public_dirty,Circulation_quality,public,DIRTY,3,Patchcore,0.9003297686576843,0.8165680766105652
cq_public_dirty,Circulation_quality,public,DIRTY,3,PaDiM,0.9825437068939209,0.9032257795333862
cq_public_dirty,Circulation_quality,public,DIRTY,3,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,3,CFA,0.894135594367981,0.800000011920929
cq_public_dirty,Circulation_quality,public,DIRTY,3,STFPM,0.9161504507064819,0.7582417726516724
cq_public_dirty,Circulation_quality,public,DIRTY,4,Patchcore,0.895154595375061,0.8421052694320679
cq_public_dirty,Circulation_quality,public,DIRTY,4,PaDiM,0.9536910653114319,0.8402366638183594
cq_public_dirty,Circulation_quality,public,DIRTY,4,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,4,CFA,0.8974875211715698,0.7922077775001526
cq_public_dirty,Circulation_quality,public,DIRTY,4,STFPM,0.888236403465271,0.6976743936538696
cq_public_dirty,Circulation_quality,public,DIRTY,5,Patchcore,0.9278149008750916,0.8192771077156067
cq_public_dirty,Circulation_quality,public,DIRTY,5,PaDiM,0.9843133687973022,0.8837209343910217
cq_public_dirty,Circulation_quality,public,DIRTY,5,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,5,CFA,0.8902742862701416,0.8101266026496887
cq_public_dirty,Circulation_quality,public,DIRTY,5,STFPM,0.9278953075408936,0.8045976758003235
cq_public_dirty,Circulation_quality,public,DIRTY,6,Patchcore,0.922961413860321,0.8025477528572083
cq_public_dirty,Circulation_quality,public,DIRTY,6,PaDiM,0.9832944869995117,0.8817204236984253
cq_public_dirty,Circulation_quality,public,DIRTY,6,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,6,CFA,0.8973265886306763,0.7922077775001526
cq_public_dirty,Circulation_quality,public,DIRTY,6,STFPM,0.8892017006874084,0.7272727489471436
cq_public_dirty,Circulation_quality,public,DIRTY,7,Patchcore,0.9268763065338135,0.8361582159996033
cq_public_dirty,Circulation_quality,public,DIRTY,7,PaDiM,0.9707987904548645,0.8720930218696594
cq_public_dirty,Circulation_quality,public,DIRTY,7,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,7,CFA,0.9133886098861694,0.7948718070983887
cq_public_dirty,Circulation_quality,public,DIRTY,7,STFPM,0.9217814803123474,0.7570621371269226
cq_public_dirty,Circulation_quality,public,DIRTY,8,Patchcore,0.9075965881347656,0.824999988079071
cq_public_dirty,Circulation_quality,public,DIRTY,8,PaDiM,0.9729975461959839,0.8369565010070801
cq_public_dirty,Circulation_quality,public,DIRTY,8,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,8,CFA,0.9052904844284058,0.800000011920929
cq_public_dirty,Circulation_quality,public,DIRTY,8,STFPM,0.8699487447738647,0.6585366129875183
cq_public_dirty,Circulation_quality,public,DIRTY,9,Patchcore,0.9390233755111694,0.8571428656578064
cq_public_dirty,Circulation_quality,public,DIRTY,9,PaDiM,0.9594025611877441,0.8363636136054993
cq_public_dirty,Circulation_quality,public,DIRTY,9,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,9,CFA,0.9003298282623291,0.7922077775001526
cq_public_dirty,Circulation_quality,public,DIRTY,9,STFPM,0.9126377105712891,0.7613636255264282
cq_public_dirty,Circulation_quality,public,DIRTY,10,Patchcore,0.9234172701835632,0.800000011920929
cq_public_dirty,Circulation_quality,public,DIRTY,10,PaDiM,0.9659185409545898,0.8343558311462402
cq_public_dirty,Circulation_quality,public,DIRTY,10,DFM,0.9325610995292664,0.8023256063461304
cq_public_dirty,Circulation_quality,public,DIRTY,10,CFA,0.9031721949577332,0.7922077775001526
cq_public_dirty,Circulation_quality,public,DIRTY,10,STFPM,0.9342235922813416,0.763005793094635
cq_public_oxidized,Circulation_quality,public,OXIDIZED,1,Patchcore,0.9794495105743408,0.8737863898277283
cq_public_oxidized,Circulation_quality,public,OXIDIZED,1,PaDiM,0.9879930019378662,0.8181818127632141
cq_public_oxidized,Circulation_quality,public,OXIDIZED,1,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,1,CFA,0.9929343461990356,0.8648648858070374
cq_public_oxidized,Circulation_quality,public,OXIDIZED,1,STFPM,0.9470305442810059,0.6868686676025391
cq_public_oxidized,Circulation_quality,public,OXIDIZED,2,Patchcore,0.8916597366333008,0.6458333134651184
cq_public_oxidized,Circulation_quality,public,OXIDIZED,2,PaDiM,0.9915950298309326,0.868686854839325
cq_public_oxidized,Circulation_quality,public,OXIDIZED,2,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,2,CFA,0.9888242483139038,0.8155339956283569
cq_public_oxidized,Circulation_quality,public,OXIDIZED,2,STFPM,0.9340999126434326,0.7524752616882324
cq_public_oxidized,Circulation_quality,public,OXIDIZED,3,Patchcore,0.9731689691543579,0.8256880640983582
cq_public_oxidized,Circulation_quality,public,OXIDIZED,3,PaDiM,0.9912717938423157,0.8282828330993652
cq_public_oxidized,Circulation_quality,public,OXIDIZED,3,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,3,CFA,0.9809736013412476,0.8190476298332214
cq_public_oxidized,Circulation_quality,public,OXIDIZED,3,STFPM,0.9241710305213928,0.6153846383094788
cq_public_oxidized,Circulation_quality,public,OXIDIZED,4,Patchcore,0.993950366973877,0.9259259104728699
cq_public_oxidized,Circulation_quality,public,OXIDIZED,4,PaDiM,0.9926572442054749,0.8807339668273926
cq_public_oxidized,Circulation_quality,public,OXIDIZED,4,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,4,CFA,0.9914565086364746,0.843137264251709
cq_public_oxidized,Circulation_quality,public,OXIDIZED,4,STFPM,0.9832363724708557,0.8888888955116272
cq_public_oxidized,Circulation_quality,public,OXIDIZED,5,Patchcore,0.9896554350852966,0.9320388436317444
cq_public_oxidized,Circulation_quality,public,OXIDIZED,5,PaDiM,0.9911794066429138,0.886956512928009
cq_public_oxidized,Circulation_quality,public,OXIDIZED,5,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,5,CFA,0.9905329346656799,0.859649121761322
cq_public_oxidized,Circulation_quality,public,OXIDIZED,5,STFPM,0.9597764611244202,0.7200000286102295
cq_public_oxidized,Circulation_quality,public,OXIDIZED,6,Patchcore,0.9830977916717529,0.8761904835700989
cq_public_oxidized,Circulation_quality,public,OXIDIZED,6,PaDiM,0.9892398118972778,0.834782600402832
cq_public_oxidized,Circulation_quality,public,OXIDIZED,6,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,6,CFA,0.9915489554405212,0.8199999928474426
cq_public_oxidized,Circulation_quality,public,OXIDIZED,6,STFPM,0.9722452759742737,0.9158878326416016
cq_public_oxidized,Circulation_quality,public,OXIDIZED,7,Patchcore,0.9874850511550903,0.8545454740524292
cq_public_oxidized,Circulation_quality,public,OXIDIZED,7,PaDiM,0.9899787306785583,0.849056601524353
cq_public_oxidized,Circulation_quality,public,OXIDIZED,7,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,7,CFA,0.9929344058036804,0.8113207817077637
cq_public_oxidized,Circulation_quality,public,OXIDIZED,7,STFPM,0.9661033153533936,0.7142857313156128
cq_public_oxidized,Circulation_quality,public,OXIDIZED,8,Patchcore,0.9962131977081299,0.9272727370262146
cq_public_oxidized,Circulation_quality,public,OXIDIZED,8,PaDiM,0.9909946918487549,0.875
cq_public_oxidized,Circulation_quality,public,OXIDIZED,8,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,8,CFA,0.9894707202911377,0.8620689511299133
cq_public_oxidized,Circulation_quality,public,OXIDIZED,8,STFPM,0.9818509221076965,0.8571428656578064
cq_public_oxidized,Circulation_quality,public,OXIDIZED,9,Patchcore,0.9974600076675415,0.9158878326416016
cq_public_oxidized,Circulation_quality,public,OXIDIZED,9,PaDiM,0.9928419589996338,0.8717948794364929
cq_public_oxidized,Circulation_quality,public,OXIDIZED,9,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,9,CFA,0.9918721318244934,0.8301886916160583
cq_public_oxidized,Circulation_quality,public,OXIDIZED,9,STFPM,0.9281425476074219,0.6734693646430969
cq_public_oxidized,Circulation_quality,public,OXIDIZED,10,Patchcore,0.9854992032051086,0.8333333134651184
cq_public_oxidized,Circulation_quality,public,OXIDIZED,10,PaDiM,0.9880853295326233,0.8627451062202454
cq_public_oxidized,Circulation_quality,public,OXIDIZED,10,DFM,0.9935808181762695,0.9514563083648682
cq_public_oxidized,Circulation_quality,public,OXIDIZED,10,CFA,0.9891474843025208,0.8727272748947144
cq_public_oxidized,Circulation_quality,public,OXIDIZED,10,STFPM,0.9429205060005188,0.6428571343421936
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",1,Patchcore,0.8548889756202698,0.7209302186965942
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",1,PaDiM,0.9578372836112976,0.8503937125205994
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",1,DFM,0.8991332650184631,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",1,CFA,0.9125372171401978,0.8369098901748657
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",1,STFPM,0.894899845123291,0.7643020749092102
